TRAFO,zona,LAT,LNG,kva,Caso
T6137,Zona_Centro,2.241279677,-76.64862929,15,72621
T16432,Zona_Centro,2.594931399,-75.84159583,10,72565
T15301,Zona_Centro,2.710058469,-76.65876504,15,72472
T8900,Zona_Centro,2.545847461,-76.55137916,25,72390
T15852,Zona_Sur,1.674845168,-77.11623561,25,72380
T1437,Zona_Sur,2.252908738,-76.71203115,5,72021
T15837,Zona_Sur,1.670106354,-77.11289239,37.5,72011
T15759,Zona_Centro,2.449462356,-76.922904,10,71736
T26127,Zona_Norte,2.938736698,-76.30575318,5,71486
T1621,Zona_Centro,2.433583692,-76.87005592,10,71131
T23171,Zona_Centro,2.741944961,-76.48346116,5,70963
T18745,Zona_Norte,3.12262010297,-76.26093096010,5,70570
T24791,Zona_Sur,2.047723451,-77.03638455,5,70546
T36411,Zona_Popayan,2.42729037608,-76.61592731920,50,70079
T29232,Zona_Centro,2.64020869864,-76.82141882330,5,70050
T29231,Zona_Centro,2.63428583897,-76.82141919620,5,70049
T16309,Zona_Sur,2.157967262,-77.19369874,5,69600
T2469,Zona_Sur,2.150732179,-76.69324182,5,69457
T22336,Zona_Sur,2.22970986806,-77.00534101230,15,69416
T18913,Zona_Centro,2.43099200453,-77.0700602038,5,69342
T29236,Zona_Centro,2.62268366475,-76.83414334350,15,69274
T22302,Zona_Sur,2.27999688649,-77.06018202890,15,69257
T10393,Zona_Centro,2.637848011,-76.33341874,37.5,68872
T13272,Zona_Sur,1.777018328,-77.15920642,5,68862
T2591,Zona_Popayan,2.49005543342,-76.69177359590,10,68776
T10391,Zona_Centro,2.645131737,-76.32563632,25,68736
T16550,Zona_Norte,2.851939602,-76.40008927,10,68651
T2495,Zona_Centro,2.590485747,-76.45589469,10,68552
T12089,Zona_Centro,2.922100574,-76.32627825,10,68214
T30883,Zona_Sur,2.20673463174,-77.10644001350,25,68199
T23241,Zona_Centro,2.713527813,-76.37755853,5,67971
T6862,Zona_Centro,2.759870063,-76.71768973,5,67965
T7873,Zona_Centro,2.735762586,-76.34801696,10,67922
T7210,Zona_Centro,2.399324639,-76.72737623,75,67815
T12741,Zona_Sur,2.316199977,-76.84348331,10,67737
T5833,Zona_Centro,2.433231091,-76.70497084,15,67529
T22121,Zona_Norte,3.07314643804,-76.31911428740,15,67526
T1626,Zona_Centro,2.396708774,-76.84106597,15,67402
T14062,Zona_Norte,2.762544726,-76.40448462,5,67315
T18266,Zona_Norte,3.15172198507,-76.25422374540,25,67014
T4079,Zona_Popayan,2.505542596,-76.67849759,25,66869
T23145,Zona_Centro,2.710210121,-76.4828287,5,66638
T12779,Zona_Norte,2.977411757,-76.51715149,25,66574
T24109,Zona_Norte,2.839712067,-76.52488434,5,66551
T19533,Zona_Sur,2.240279223,-77.04274196,5,66550
T3656,Zona_Popayan,2.389894845,-76.61496828,10,66525
T10854,Zona_Centro,2.49090904,-76.86280871,25,66523
T9195,Zona_Centro,2.704617661,-76.64242698,37.5,66495
T23158,Zona_Centro,2.71200678354,-76.47800124630,5,66478
T7029,Zona_Norte,3.001877697,-76.47528555,112.5,66449
T11855,Zona_Norte,3.110582738,-76.34777346,15,66256
T17399,Zona_Centro,1.371626917,-76.51418073,10,66085
T29147,Zona_Norte,2.930761662,-76.55644476,5,65771
T8255,Zona_Norte,2.941623616,-76.45712269,15,65693
T29149,Zona_Norte,2.926435658,-76.55615275,5,65593
T13316,Zona_Norte,2.97265763489,-76.78218787650,5,65528
T13063,Zona_Centro,2.945540531,-76.35548467,15,65397
T5615,Zona_Centro,2.396390882,-76.71336936,25,64972
T14374,Zona_Centro,2.496353004,-76.92458885,25,64936
T24599,Zona_Centro,2.678622555,-76.73848317,5,64919
T5087,Zona_Centro,2.644686262,-76.45017579,25,64884
T24410,Zona_Centro,2.676491465,-76.78335975,5,64710
T30866,Zona_Centro,#N/D,#N/D,5,64573
T1470,Zona_Norte,3.029307907,-76.5140665,37.5,64551
T11910,Zona_Sur,2.281127168,-76.80626688,10,64309
T10449,Zona_Norte,3.020069435,-76.52073663,25,64298
T24518,Zona_Centro,2.682850809,-76.8173859,5,64288
T10944,Zona_Sur,1.878746875,-76.80125849,15,64088
T11602,Zona_Sur,2.094717161,-76.88272561,25,63980
T19682,Zona_Norte,3.14474865853,-76.27390337050,15,63892
T12466,Zona_Sur,2.07292208,-76.88054401,10,63849
